hcp_id,specialty,region,lon,lat,territory
HCP00001,Internal Medicine,South,-83.254,31.858,T12
HCP00002,Internal Medicine,Midwest,-95.565,43.999,T7
HCP00003,Cardiology,Midwest,-87.649,44.139,T15
HCP00004,Endocrinology,South,-90.441,29.038,T8
HCP00005,Internal Medicine,Midwest,-94.747,42.741,T7
HCP00006,Nephrology,West,-109.273,44.978,T7
HCP00007,Endocrinology,Northeast,-74.284,47.11,T19
HCP00008,Cardiology,Northeast,-71.464,39.562,T18
HCP00009,Endocrinology,Northeast,-69.346,34.811,T17
HCP00010,Endocrinology,Midwest,-87.834,40.814,T14
HCP00011,Internal Medicine,South,-87.756,32.143,T12
HCP00012,Internal Medicine,South,-94.177,30.816,T4
HCP00013,Cardiology,Northeast,-75.539,46.107,T19
HCP00014,Cardiology,West,-115.435,37.739,T1
HCP00015,Geriatrics,Northeast,-69.433,41.896,T18
HCP00016,Cardiology,South,-87.01,33.37,T12
HCP00017,Internal Medicine,Northeast,-67.325,38.525,T17
HCP00018,Internal Medicine,Northeast,-74.481,34.606,T16
HCP00019,Internal Medicine,South,-92.684,31.968,T8
HCP00020,Nephrology,West,-112.655,41.188,T2
HCP00021,Cardiology,Midwest,-96.299,45.265,T7
HCP00022,Endocrinology,Northeast,-72.891,39.55,T18
HCP00023,Nephrology,West,-117.517,38.676,T1
HCP00024,Cardiology,South,-92.766,34.768,T8
HCP00025,Endocrinology,West,-117.029,37.502,T1
HCP00026,Nephrology,South,-90.808,26.77,T8
HCP00027,Internal Medicine,West,-111.762,40.225,T2
HCP00028,Endocrinology,South,-86.87,28.822,T12
HCP00029,Geriatrics,South,-93.166,31.262,T8
HCP00030,Geriatrics,West,-117.408,34.205,T0
HCP00031,Endocrinology,West,-117.16,36.608,T1
HCP00032,Internal Medicine,Northeast,-75.395,44.875,T19
HCP00033,Cardiology,Midwest,-92.291,42.084,T10
HCP00034,Internal Medicine,Northeast,-69.796,42.702,T19
HCP00035,Cardiology,Midwest,-95.459,39.523,T6
HCP00036,Cardiology,West,-117.157,33.967,T0
HCP00037,Nephrology,Northeast,-73.818,45.562,T19
HCP00038,Internal Medicine,South,-89.785,33.398,T8
HCP00039,Endocrinology,South,-87.45,33.633,T12
HCP00040,Internal Medicine,South,-93.754,23.701,T4
HCP00041,Cardiology,South,-88.583,32.167,T12
HCP00042,Cardiology,Midwest,-92.385,42.74,T11
HCP00043,Nephrology,West,-117.512,38.123,T1
HCP00044,Internal Medicine,South,-84.269,32.806,T12
HCP00045,Cardiology,Northeast,-73.698,46.774,T19
HCP00046,Endocrinology,West,-112.879,33.296,T0
HCP00047,Endocrinology,Northeast,-76.275,38.612,T13
HCP00048,Internal Medicine,Northeast,-71.799,38.04,T17
HCP00049,Geriatrics,Northeast,-80.442,45.341,T15
HCP00050,Endocrinology,Northeast,-73.802,40.896,T18
HCP00051,Cardiology,Northeast,-68.731,40.358,T18
HCP00052,Endocrinology,West,-107.329,39.55,T6
HCP00053,Nephrology,Northeast,-81.64,45.598,T15
HCP00054,Endocrinology,West,-113.111,36.045,T1
HCP00055,Endocrinology,South,-97.338,30.242,T4
HCP00056,Cardiology,West,-117.188,35.41,T1
HCP00057,Internal Medicine,Northeast,-75.591,41.925,T18
HCP00058,Endocrinology,West,-113.145,32.621,T0
HCP00059,Nephrology,South,-91.391,35.066,T9
HCP00060,Internal Medicine,West,-111.295,36.395,T5
HCP00061,Internal Medicine,South,-93.778,25.279,T4
HCP00062,Cardiology,Midwest,-95.742,43.649,T7
HCP00063,Internal Medicine,South,-90.04,29.13,T8
HCP00064,Internal Medicine,South,-87.936,29.834,T12
HCP00065,Cardiology,South,-90.171,31.205,T8
HCP00066,Nephrology,West,-123.744,35.455,T1
HCP00067,Cardiology,Northeast,-76.185,43.774,T19
HCP00068,Endocrinology,West,-113.06,36.959,T1
HCP00069,Endocrinology,Midwest,-94.184,38.823,T5
HCP00070,Cardiology,West,-110.466,34.968,T5
HCP00071,Cardiology,West,-116.129,35.274,T1
HCP00072,Internal Medicine,Midwest,-96.722,40.031,T6
HCP00073,Internal Medicine,Midwest,-95.968,44.906,T7
HCP00074,Endocrinology,South,-88.049,32.43,T12
HCP00075,Cardiology,Midwest,-90.005,47.25,T11
HCP00076,Cardiology,Northeast,-67.241,45.357,T19
HCP00077,Geriatrics,Northeast,-77.385,38.752,T13
HCP00078,Cardiology,West,-113.643,36.292,T1
HCP00079,Cardiology,West,-108.651,38.8,T5
HCP00080,Internal Medicine,South,-90.239,33.816,T8
HCP00081,Cardiology,West,-112.769,32.561,T0
HCP00082,Nephrology,Northeast,-65.314,37.398,T17
HCP00083,Cardiology,West,-119.47,40.448,T2
HCP00084,Geriatrics,Northeast,-80.587,42.59,T15
HCP00085,Cardiology,South,-92.11,32.249,T8
HCP00086,Cardiology,West,-117.873,32.083,T0
HCP00087,Internal Medicine,West,-112.022,32.702,T0
HCP00088,Cardiology,Midwest,-95.197,40.671,T6
HCP00089,Internal Medicine,South,-83.893,31.147,T12
HCP00090,Endocrinology,Northeast,-67.781,43.498,T19
HCP00091,Endocrinology,South,-84.56,31.486,T12
HCP00092,Geriatrics,Northeast,-76.86,42.261,T14
HCP00093,Geriatrics,South,-91.101,29.922,T8
HCP00094,Internal Medicine,Midwest,-101.742,41.962,T6
HCP00095,Internal Medicine,West,-117.966,36.133,T1
HCP00096,Cardiology,Midwest,-98.858,36.429,T5
HCP00097,Cardiology,South,-82.107,36.895,T13
HCP00098,Internal Medicine,West,-120.729,37.061,T1
HCP00099,Endocrinology,Northeast,-75.494,42.231,T18
HCP00100,Endocrinology,South,-81.055,35.047,T13
HCP00101,Cardiology,Midwest,-92.936,37.722,T9
HCP00102,Internal Medicine,Northeast,-72.136,35.656,T17
HCP00103,Nephrology,Northeast,-72.542,40.365,T18
HCP00104,Endocrinology,West,-116.804,41.405,T2
HCP00105,Cardiology,South,-88.855,30.11,T12
HCP00106,Cardiology,Midwest,-92.457,45.282,T11
HCP00107,Internal Medicine,Midwest,-91.317,37.837,T9
HCP00108,Nephrology,West,-113.278,38.652,T1
HCP00109,Endocrinology,Midwest,-97.707,44.304,T7
HCP00110,Internal Medicine,South,-93.571,28.154,T8
HCP00111,Cardiology,Northeast,-66.888,44.744,T19
HCP00112,Internal Medicine,Midwest,-94.661,40.006,T6
HCP00113,Cardiology,West,-119.371,40.528,T2
HCP00114,Cardiology,West,-113.344,40.342,T2
HCP00115,Endocrinology,West,-116.948,34.073,T0
HCP00116,Internal Medicine,South,-90.469,29.051,T8
HCP00117,Cardiology,Northeast,-75.318,39.004,T17
HCP00118,Endocrinology,Northeast,-72.176,45.692,T19
HCP00119,Internal Medicine,Northeast,-65.879,44.984,T19
HCP00120,Cardiology,Midwest,-94.302,43.005,T7
HCP00121,Cardiology,West,-118.008,35.744,T1
HCP00122,Internal Medicine,West,-120.477,37.478,T1
HCP00123,Cardiology,West,-117.902,31.691,T0
HCP00124,Cardiology,West,-115.008,42.013,T2
HCP00125,Cardiology,Midwest,-88.45,44.532,T15
HCP00126,Cardiology,West,-111.656,31.077,T4
HCP00127,Cardiology,Midwest,-86.226,40.56,T14
HCP00128,Internal Medicine,Midwest,-90.518,40.112,T10
HCP00129,Cardiology,South,-88.572,32.469,T12
HCP00130,Cardiology,South,-91.388,26.146,T8
HCP00131,Geriatrics,South,-90.025,29.177,T8
HCP00132,Endocrinology,West,-110.592,35.977,T5
HCP00133,Endocrinology,Midwest,-98.071,40.542,T6
HCP00134,Internal Medicine,Northeast,-63.801,43.644,T19
HCP00135,Endocrinology,Northeast,-74.297,35.544,T17
HCP00136,Endocrinology,Northeast,-70.139,46.666,T19
HCP00137,Cardiology,Midwest,-94.122,42.94,T7
HCP00138,Endocrinology,West,-117.689,35.173,T1
HCP00139,Internal Medicine,Northeast,-75.175,29.544,T16
HCP00140,Cardiology,Midwest,-92.389,44.243,T11
HCP00141,Nephrology,Northeast,-78.045,41.473,T14
HCP00142,Internal Medicine,South,-88.985,30.7,T12
HCP00143,Endocrinology,Midwest,-87.916,37.872,T13
HCP00144,Endocrinology,Northeast,-64.577,46.001,T19
HCP00145,Endocrinology,West,-114.065,37.466,T1
HCP00146,Cardiology,West,-112.189,40.374,T2
HCP00147,Geriatrics,Midwest,-95.913,40.962,T6
HCP00148,Endocrinology,South,-88.794,32.151,T12
HCP00149,Internal Medicine,Northeast,-72.426,39.763,T18
HCP00150,Geriatrics,Midwest,-98.988,41.277,T6
HCP00151,Internal Medicine,Midwest,-93.868,41.578,T6
HCP00152,Cardiology,South,-87.849,26.412,T12
HCP00153,Internal Medicine,West,-117.013,36.966,T1
HCP00154,Endocrinology,West,-112.872,42.235,T2
HCP00155,Internal Medicine,South,-88.774,29.954,T12
HCP00156,Cardiology,Northeast,-67.636,38.451,T17
HCP00157,Internal Medicine,South,-85.251,32.944,T12
HCP00158,Internal Medicine,West,-117.226,38.079,T1
HCP00159,Geriatrics,South,-84.254,32.656,T12
HCP00160,Internal Medicine,Midwest,-86.955,41.55,T14
HCP00161,Internal Medicine,West,-111.079,34.892,T5
HCP00162,Cardiology,Northeast,-73.99,40.209,T18
HCP00163,Internal Medicine,South,-88.738,32.606,T12
HCP00164,Cardiology,Midwest,-96.45,40.167,T6
HCP00165,Nephrology,West,-117.916,41.418,T2
HCP00166,Internal Medicine,West,-114.693,39.243,T2
HCP00167,Internal Medicine,West,-108.166,36.423,T5
HCP00168,Cardiology,Northeast,-71.579,44.357,T19
HCP00169,Internal Medicine,South,-88.188,33.011,T12
HCP00170,Nephrology,South,-93.945,28.49,T4
HCP00171,Internal Medicine,Midwest,-94.99,41.366,T6
HCP00172,Endocrinology,Midwest,-97.38,39.377,T6
HCP00173,Internal Medicine,Northeast,-72.957,43.949,T19
HCP00174,Internal Medicine,South,-89.856,31.112,T8
HCP00175,Internal Medicine,Midwest,-87.813,45.545,T15
HCP00176,Cardiology,Midwest,-93.563,41.782,T10
HCP00177,Cardiology,South,-87.309,32.195,T12
HCP00178,Cardiology,Midwest,-94.13,41.82,T6
HCP00179,Cardiology,South,-88.341,33.486,T12
HCP00180,Cardiology,South,-94.133,34.238,T4
HCP00181,Endocrinology,Midwest,-92.464,45.207,T11
HCP00182,Nephrology,Northeast,-73.506,41.208,T18
HCP00183,Internal Medicine,South,-88.751,35.037,T13
HCP00184,Endocrinology,South,-90.459,30.208,T8
HCP00185,Cardiology,South,-91.562,32.587,T8
HCP00186,Endocrinology,West,-119.625,34.218,T0
HCP00187,Internal Medicine,Northeast,-65.759,37.753,T17
HCP00188,Internal Medicine,West,-107.622,38.432,T5
HCP00189,Cardiology,Midwest,-90.003,39.493,T10
HCP00190,Cardiology,Northeast,-71.928,43.602,T19
HCP00191,Cardiology,South,-88.777,31.564,T12
HCP00192,Nephrology,South,-86.052,36.552,T13
HCP00193,Endocrinology,West,-106.315,36.759,T5
HCP00194,Internal Medicine,South,-89.204,24.381,T8
HCP00195,Endocrinology,Midwest,-99.483,44.125,T7
HCP00196,Internal Medicine,South,-91.818,31.587,T8
HCP00197,Cardiology,Midwest,-90.236,41.247,T10
HCP00198,Endocrinology,Northeast,-67.033,44.518,T19
HCP00199,Internal Medicine,Northeast,-79.597,43.431,T15
HCP00200,Geriatrics,Northeast,-77.505,41.9,T14
HCP00201,Internal Medicine,Northeast,-81.088,37.403,T13
HCP00202,Internal Medicine,Midwest,-103.613,43.27,T7
HCP00203,Geriatrics,South,-97.259,35.032,T5
HCP00204,Internal Medicine,Midwest,-88.499,41.832,T14
HCP00205,Endocrinology,Midwest,-92.57,41.694,T10
HCP00206,Cardiology,West,-120.286,38.14,T1
HCP00207,Cardiology,Northeast,-73.536,44.287,T19
HCP00208,Internal Medicine,Midwest,-99.213,39.178,T6
HCP00209,Endocrinology,West,-112.129,35.215,T1
HCP00210,Cardiology,West,-120.119,42.6,T3
HCP00211,Internal Medicine,Northeast,-73.997,42.903,T19
HCP00212,Cardiology,Northeast,-71.607,44.014,T19
HCP00213,Internal Medicine,South,-92.444,32.683,T8
HCP00214,Geriatrics,Midwest,-84.452,36.25,T13
HCP00215,Internal Medicine,Northeast,-67.916,37.619,T17
HCP00216,Geriatrics,Northeast,-67.263,38.608,T17
HCP00217,Cardiology,Northeast,-71.873,41.624,T18
HCP00218,Geriatrics,Midwest,-95.53,38.788,T5
HCP00219,Internal Medicine,West,-116.72,40.207,T2
HCP00220,Endocrinology,Midwest,-94.783,44.265,T7
HCP00221,Internal Medicine,Northeast,-67.784,40.601,T18
HCP00222,Cardiology,Midwest,-93.755,43.418,T7
HCP00223,Cardiology,Midwest,-93.211,38.139,T9
HCP00224,Endocrinology,Midwest,-95.237,43.513,T7
HCP00225,Endocrinology,Northeast,-73.291,44.919,T19
HCP00226,Geriatrics,South,-90.974,26.623,T8
HCP00227,Endocrinology,Midwest,-92.907,40.726,T10
HCP00228,Cardiology,West,-117.291,37.803,T1
HCP00229,Nephrology,South,-90.237,28.559,T8
HCP00230,Endocrinology,West,-110.751,40.652,T6
HCP00231,Cardiology,West,-115.637,41.394,T2
HCP00232,Cardiology,West,-118.508,38.614,T1
