hcp_id,month,calls
HCP00003,2024-01,2
HCP00004,2024-01,1
HCP00005,2024-01,2
HCP00006,2024-01,1
HCP00009,2024-01,1
HCP00010,2024-01,2
HCP00011,2024-01,1
HCP00012,2024-01,3
HCP00013,2024-01,1
HCP00017,2024-01,1
HCP00019,2024-01,1
HCP00022,2024-01,3
HCP00023,2024-01,2
HCP00027,2024-01,1
HCP00030,2024-01,3
HCP00031,2024-01,1
HCP00032,2024-01,1
HCP00035,2024-01,1
HCP00039,2024-01,3
HCP00040,2024-01,3
HCP00041,2024-01,1
HCP00044,2024-01,1
HCP00045,2024-01,1
HCP00046,2024-01,1
HCP00050,2024-01,1
HCP00053,2024-01,3
HCP00054,2024-01,1
HCP00057,2024-01,1
HCP00058,2024-01,1
HCP00059,2024-01,4
HCP00063,2024-01,9
HCP00064,2024-01,2
HCP00065,2024-01,5
HCP00066,2024-01,1
HCP00067,2024-01,1
HCP00068,2024-01,1
HCP00069,2024-01,3
HCP00071,2024-01,5
HCP00072,2024-01,2
HCP00076,2024-01,1
HCP00077,2024-01,1
HCP00078,2024-01,1
HCP00079,2024-01,1
HCP00080,2024-01,1
HCP00083,2024-01,1
HCP00084,2024-01,3
HCP00085,2024-01,2
HCP00086,2024-01,1
HCP00088,2024-01,1
HCP00091,2024-01,1
HCP00092,2024-01,3
HCP00093,2024-01,2
HCP00094,2024-01,1
HCP00095,2024-01,1
HCP00096,2024-01,1
HCP00097,2024-01,3
HCP00098,2024-01,2
HCP00099,2024-01,1
HCP00100,2024-01,1
HCP00103,2024-01,1
HCP00104,2024-01,1
HCP00105,2024-01,2
HCP00108,2024-01,3
HCP00110,2024-01,1
HCP00111,2024-01,1
HCP00113,2024-01,2
HCP00114,2024-01,2
HCP00115,2024-01,1
HCP00116,2024-01,2
HCP00119,2024-01,1
HCP00120,2024-01,2
HCP00122,2024-01,2
HCP00123,2024-01,2
HCP00124,2024-01,1
HCP00125,2024-01,1
HCP00126,2024-01,1
HCP00127,2024-01,3
HCP00132,2024-01,1
HCP00134,2024-01,1
HCP00135,2024-01,1
HCP00141,2024-01,2
HCP00142,2024-01,4
HCP00144,2024-01,2
HCP00145,2024-01,2
HCP00147,2024-01,3
HCP00151,2024-01,2
HCP00152,2024-01,4
HCP00153,2024-01,3
HCP00154,2024-01,1
HCP00157,2024-01,6
HCP00158,2024-01,1
HCP00159,2024-01,2
HCP00160,2024-01,1
HCP00162,2024-01,2
HCP00163,2024-01,3
HCP00168,2024-01,5
HCP00169,2024-01,1
HCP00172,2024-01,1
HCP00173,2024-01,3
HCP00177,2024-01,1
HCP00178,2024-01,4
HCP00179,2024-01,2
HCP00181,2024-01,1
HCP00182,2024-01,3
HCP00183,2024-01,2
HCP00185,2024-01,3
HCP00187,2024-01,1
HCP00188,2024-01,1
HCP00189,2024-01,3
HCP00190,2024-01,1
HCP00193,2024-01,2
HCP00194,2024-01,1
