hcp_id,month,market_trx,our_trx
HCP00001,2024-01,6,1
HCP00001,2024-02,7,3
HCP00001,2024-03,5,1
HCP00001,2024-04,9,3
HCP00001,2024-05,8,1
HCP00001,2024-06,6,0
HCP00001,2024-07,8,1
HCP00001,2024-08,6,1
HCP00001,2024-09,6,0
HCP00001,2024-10,7,0
HCP00001,2024-11,6,0
HCP00001,2024-12,7,2
HCP00001,2025-01,8,0
HCP00001,2025-02,5,1
HCP00001,2025-03,6,2
HCP00001,2025-04,8,1
HCP00001,2025-05,5,0
HCP00001,2025-06,7,0
HCP00002,2024-01,13,2
HCP00002,2024-02,12,1
HCP00002,2024-03,13,3
HCP00002,2024-04,14,4
HCP00002,2024-05,12,2
HCP00002,2024-06,15,3
HCP00002,2024-07,13,4
HCP00002,2024-08,14,5
HCP00002,2024-09,15,4
HCP00002,2024-10,15,3
HCP00002,2024-11,13,3
HCP00002,2024-12,9,2
HCP00002,2025-01,16,1
HCP00002,2025-02,10,2
HCP00002,2025-03,16,2
HCP00002,2025-04,15,3
HCP00002,2025-05,13,2
HCP00002,2025-06,11,2
HCP00003,2024-01,8,2
HCP00003,2024-02,10,0
HCP00003,2024-03,10,2
HCP00003,2024-04,10,0
HCP00003,2024-05,13,4
HCP00003,2024-06,13,2
HCP00003,2024-07,11,2
HCP00003,2024-08,11,2
HCP00003,2024-09,11,3
HCP00003,2024-10,11,4
HCP00003,2024-11,11,2
HCP00003,2024-12,10,1
HCP00003,2025-01,13,3
HCP00003,2025-02,13,0
HCP00003,2025-03,12,5
HCP00003,2025-04,13,2
HCP00003,2025-05,11,3
HCP00003,2025-06,12,2
HCP00004,2024-01,68,28
HCP00004,2024-02,100,52
HCP00004,2024-03,84,41
HCP00004,2024-04,54,22
HCP00004,2024-05,93,41
HCP00004,2024-06,82,32
HCP00004,2024-07,48,17
HCP00004,2024-08,70,31
HCP00004,2024-09,88,34
HCP00004,2024-10,81,34
HCP00004,2024-11,60,17
HCP00004,2024-12,74,35
HCP00004,2025-01,77,23
HCP00004,2025-02,64,24
HCP00004,2025-03,76,30
HCP00004,2025-04,73,27
HCP00004,2025-05,79,41
HCP00004,2025-06,68,28
HCP00005,2024-01,72,36
HCP00005,2024-02,91,41
